WS_TYPE_ID,NAME,MAX_EXECUTIONTIME,SETUP_TIME
A4578,600t cold forging stamping press,120,30
A4588,600t cold forging precision stamping press,120,30
A4598,1000t cold forging precision stamping press,120,30
S3271,Handle rivet,600,30
K3675,Packaging,240,30
K3676,Packaging for large items,300,30
C5637,Border trimming,300,30
D9123,Spot welding,420,30
Q5478,Teflon application station,3200,30
Q3547,Stainless steel polishing,1800,30
T3452,Assembly T1,120,30
G9273,Circular glass cutting,500,30
G9274,Glass trimming,400,30
